[2018-12-01 14:53:38] erhan.ERROR: ошибка: Undefined variable: artucules, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 7 [] []
[2018-12-01 14:53:53] erhan.ERROR: ошибка: Undefined index: , файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 20 [] []
[2018-12-01 14:58:16] erhan.ERROR: ошибка: Undefined index: $item_id, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 5 [] []
[2018-12-01 14:58:43] erhan.ERROR: ошибка: Undefined index: $item_id, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 5 [] []
[2018-12-02 06:11:12] erhan.ERROR: ошибка: Undefined variable: dataset, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 3 [] []
[2018-12-02 06:11:32] erhan.ERROR: ошибка: Undefined variable: dataset, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 3 [] []
[2018-12-03 03:49:25] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-03 10:08:27] erhan.ERROR: ошибка: Метод <b>app\controllers\SlavkoController::vocsAction</b> не найден, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 97 [] []
[2018-12-03 10:08:41] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-03 11:03:59] erhan.ERROR: ошибка: Expected array, string given., файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 8906 [] []
[2018-12-03 11:29:37] erhan.ERROR: ошибка: Undefined index: pass, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 126 [] []
[2018-12-03 11:30:18] erhan.ERROR: ошибка: Trying to get property 'pass' of non-object, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 126 [] []
[2018-12-03 11:33:35] erhan.ERROR: ошибка: Undefined index: ind, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 128 [] []
[2018-12-03 11:34:06] erhan.ERROR: ошибка: Illegal offset type, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 128 [] []
[2018-12-03 12:05:34] erhan.ERROR: ошибка: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'menu' in 'where clause', файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 768 [] []
[2018-12-03 12:06:43] erhan.ERROR: ошибка: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'menu' in 'where clause', файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 768 [] []
[2018-12-03 12:07:26] erhan.ERROR: ошибка: Array to string conversion, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\items.php, строка: 4 [] []
[2018-12-04 03:47:28] erhan.ERROR: ошибка: Страница не найдена, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 105 [] []
[2018-12-04 07:28:25] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-12-04 07:30:39] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
